Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2011","2011","kg/ha","30.3"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2012","2012","kg/ha","30.81"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2013","2013","kg/ha","29.29"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2014","2014","kg/ha","28.64"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2015","2015","kg/ha","25.88"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2016","2016","kg/ha","23.71"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2017","2017","kg/ha","34.08"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2018","2018","kg/ha","36.83"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2019","2019","kg/ha","38.8"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2020","2020","kg/ha","42.66"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2021","2021","kg/ha","44.86"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2022","2022","kg/ha","39.27"
"RFN","Fertilizers by Nutrient","710","South Africa","5159","Use per area of cropland","3102","Nutrient nitrogen N (total)","2023","2023","kg/ha","30.5"
